Title,URL,Description,Best Rating,Worst Rating,Rating,Genre,Duration
Whiplash,https://www.imdb.com/title/tt2582802/,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student&apos;s potential.,10,1,8.5,"Drama, Music",PT1H46M
Hotaru no haka,https://www.imdb.com/title/tt0095327/,A young boy and his little sister struggle to survive in Japan during World War II.,10,1,8.5,"Animation, Drama, War",PT1H28M
American History X,https://www.imdb.com/title/tt0120586/,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot...",10,1,8.5,"Crime, Drama",PT1H59M
Léon,https://www.imdb.com/title/tt0110413/,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin&apos;s trade.",10,1,8.5,"Action, Crime, Drama",PT1H50M
The Prestige,https://www.imdb.com/title/tt0482571/,Rival 19th-century magicians engage in a bitter battle for trade secrets.,10,1,8.5,"Drama, Mystery, Sci-Fi",PT2H10M
Seppuku,https://www.imdb.com/title/tt0056058/,"When a ronin requesting seppuku at a feudal lord&apos;s palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan&apos;s integrity.",10,1,8.6,"Action, Drama, Mystery",PT2H13M
Casablanca,https://www.imdb.com/title/tt0034583/,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,10,1,8.5,"Drama, Romance, War",PT1H42M
The Usual Suspects,https://www.imdb.com/title/tt0114814/,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,10,1,8.5,"Crime, Drama, Mystery",PT1H46M
Dune: Part Two,https://www.imdb.com/title/tt15239678/,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,10,1,8.5,"Action, Adventure, Drama",PT2H46M
Intouchables,https://www.imdb.com/title/tt1675434/,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",10,1,8.5,"Comedy, Drama",PT1H52M
Nuovo Cinema Paradiso,https://www.imdb.com/title/tt0095765/,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater&apos;s film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",10,1,8.5,"Drama, Romance",PT2H54M
Modern Times,https://www.imdb.com/title/tt0027977/,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,10,1,8.5,"Comedy, Drama, Romance",PT1H27M
Alien,https://www.imdb.com/title/tt0078748/,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",10,1,8.5,"Horror, Sci-Fi",PT1H57M
Rear Window,https://www.imdb.com/title/tt0047396/,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,10,1,8.5,"Mystery, Thriller",PT1H52M
